,batch,cluster_number,size
978,349,3,39
979,349,4,104
980,349,5,73
981,349,6,9
982,349,7,126
983,350,0,17
984,350,1,884
985,350,2,99
986,351,0,59
987,351,1,541
988,351,2,84
989,351,3,316
990,352,0,907
991,352,1,93
992,353,0,733
993,353,1,181
994,353,2,86
995,354,0,869
996,354,1,131
997,355,0,94
998,355,1,713
999,355,2,193
1000,356,0,73
1001,356,1,316
1002,356,2,359
1003,356,3,107
1004,356,4,58
1005,356,5,87
1006,357,0,137
1007,357,1,863
1008,358,0,161
1009,358,1,63
1010,358,2,776
1011,359,0,287
1012,359,1,73
1013,359,2,100
1014,359,3,211
1015,359,4,55
1016,359,5,274
1017,360,0,258
1018,360,1,186
1019,360,2,556
1020,361,0,369
1021,361,1,631
1022,362,0,118
1023,362,1,882
1024,363,0,39
1025,363,1,30
1026,363,2,64
1027,363,3,668
1028,363,4,87
1029,363,5,112
1030,364,0,143
1031,364,1,135
1032,364,2,722
1033,365,0,159
1034,365,1,841
1035,366,0,44
1036,366,1,49
1037,366,2,147
1038,366,3,470
1039,366,4,90
1040,366,5,71
1041,366,6,129
1042,367,0,467
1043,367,1,46
1044,367,2,214
1045,367,3,123
1046,367,4,150
1047,368,0,132
1048,368,1,700
1049,368,2,168
1050,369,0,194
1051,369,1,611
1052,369,2,195
1053,370,0,664
1054,370,1,158
1055,370,2,178
1056,371,0,769
1057,371,1,231
1058,372,0,268
1059,372,1,732
1060,373,0,230
1061,373,1,571
1062,373,2,199
1063,374,0,756
1064,374,1,244
1065,375,0,44
1066,375,1,611
1067,375,2,253
1068,375,3,92
1069,376,0,398
1070,376,1,195
1071,376,2,184
1072,376,3,223
1073,377,0,102
1074,377,1,275
1075,377,2,623
1076,378,0,96
1077,378,1,236
1078,378,2,668
1079,379,0,251
1080,379,1,749
1081,380,0,290
1082,380,1,662
1083,380,2,48
1084,381,0,233
1085,381,1,767
1086,382,0,180
1087,382,1,820
1088,383,0,303
1089,383,1,697
1090,384,0,718
1091,384,1,282
1092,385,0,258
1093,385,1,412
1094,385,2,330
1095,386,0,95
1096,386,1,905
1097,387,0,300
1098,387,1,700
1099,388,0,275
1100,388,1,725
1101,389,0,316
1102,389,1,258
1103,389,2,426
1104,390,0,759
1105,390,1,241
1106,391,0,710
1107,391,1,290
1108,392,0,477
1109,392,1,296
1110,392,2,227
1111,393,0,538
1112,393,1,462
1113,394,0,719
1114,394,1,281
1115,395,0,760
1116,395,1,240
1117,396,0,325
1118,396,1,675
1119,397,0,798
1120,397,1,202
1121,398,0,774
1122,398,1,226
1123,399,0,235
1124,399,1,765
1125,400,0,749
1126,400,1,251
1127,401,0,726
1128,401,1,274
1129,402,0,278
1130,402,1,722
1131,403,0,256
1132,403,1,744
1133,404,0,526
1134,404,1,185
1135,404,2,289
1136,405,0,28
1137,405,1,91
1138,405,2,228
1139,405,3,363
1140,405,4,290
1141,406,0,488
1142,406,1,512
1143,407,0,765
1144,407,1,235
1145,408,0,447
1146,408,1,253
1147,408,2,300
1148,409,0,335
1149,409,1,23
1150,409,2,218
1151,409,3,357
1152,409,4,67
1153,410,0,285
1154,410,1,437
1155,410,2,119
1156,410,3,159
1157,411,0,775
1158,411,1,225
1159,412,0,218
1160,412,1,782
1161,413,0,318
1162,413,1,536
1163,413,2,146
1164,414,0,684
1165,414,1,316
1166,415,0,582
1167,415,1,418
1168,416,0,964
1169,416,1,36
1170,417,0,125
1171,417,1,240
1172,417,2,635
1173,418,0,167
1174,418,1,262
1175,418,2,571
1176,419,0,8
1177,419,1,228
1178,419,2,46
1179,419,3,718
1180,420,0,390
1181,420,1,466
1182,420,2,144
1183,421,0,372
1184,421,1,186
1185,421,2,442
1186,422,0,383
1187,422,1,157
1188,422,2,460
1189,423,0,540
1190,423,1,202
1191,423,2,126
1192,423,3,94
1193,423,4,38
1194,424,0,667
1195,424,1,333
1196,425,0,696
1197,425,1,78
1198,425,2,110
1199,425,3,116
1200,426,0,342
1201,426,1,658
1202,427,0,870
1203,427,1,130
1204,428,0,54
1205,428,1,701
1206,428,2,28
1207,428,3,106
1208,428,4,111
1209,429,0,84
1210,429,1,280
1211,429,2,636
1212,430,0,541
1213,430,1,119
1214,430,2,340
1215,431,0,582
1216,431,1,418
1217,432,0,112
1218,432,1,766
1219,432,2,122
1220,433,0,486
1221,433,1,61
1222,433,2,114
1223,433,3,170
1224,433,4,169
1225,434,0,261
1226,434,1,739
1227,435,0,89
1228,435,1,161
1229,435,2,522
1230,435,3,228
1231,436,0,117
1232,436,1,883
1233,437,0,494
1234,437,1,64
1235,437,2,275
1236,437,3,96
1237,437,4,71
1238,438,0,213
1239,438,1,787
1240,439,0,166
1241,439,1,560
1242,439,2,274
1243,440,0,782
1244,440,1,218
1245,441,0,765
1246,441,1,235
1247,442,0,430
1248,442,1,339
1249,442,2,76
1250,442,3,43
1251,442,4,112
1252,443,0,78
1253,443,1,664
1254,443,2,258
1255,444,0,559
1256,444,1,441
1257,445,0,148
1258,445,1,852
1259,446,0,233
1260,446,1,480
1261,446,2,137
1262,446,3,117
1263,446,4,33
1264,447,0,554
1265,447,1,325
1266,447,2,121
1267,448,0,723
1268,448,1,277
1269,449,0,603
1270,449,1,397
1271,450,0,238
1272,450,1,132
1273,450,2,630
1274,451,0,212
1275,451,1,620
1276,451,2,88
1277,451,3,80
1278,452,0,329
1279,452,1,58
1280,452,2,469
1281,452,3,144
1282,453,0,753
1283,453,1,247
1284,454,0,105
1285,454,1,344
1286,454,2,551
1287,455,0,816
1288,455,1,184
1289,456,0,158
1290,456,1,744
1291,456,2,98
1292,457,0,122
1293,457,1,66
1294,457,2,406
1295,457,3,406
1296,458,0,314
1297,458,1,686
1298,459,0,827
1299,459,1,173
1300,460,0,97
1301,460,1,86
1302,460,2,817
1303,461,0,88
1304,461,1,912
1305,462,0,252
1306,462,1,633
1307,462,2,115
1308,463,0,411
1309,463,1,365
1310,463,2,224
1311,464,0,788
1312,464,1,212
1313,465,0,354
1314,465,1,646
1315,466,0,192
1316,466,1,808
1317,467,0,259
1318,467,1,334
1319,467,2,60
1320,467,3,347
1321,468,0,261
1322,468,1,739
1323,469,0,202
1324,469,1,97
1325,469,2,627
1326,469,3,74
1327,470,0,801
1328,470,1,199
1329,471,0,800
1330,471,1,200
1331,472,0,476
1332,472,1,270
1333,472,2,78
1334,472,3,66
1335,472,4,110
1336,473,0,178
1337,473,1,447
1338,473,2,158
1339,473,3,217
1340,474,0,44
1341,474,1,226
1342,474,2,161
1343,474,3,569
1344,475,0,352
1345,475,1,648
1346,476,0,271
1347,476,1,729
1348,477,0,433
1349,477,1,87
1350,477,2,133
1351,477,3,347
1352,478,0,830
1353,478,1,170
1354,479,0,225
1355,479,1,642
1356,479,2,133
1357,480,0,572
1358,480,1,428
1359,481,0,99
1360,481,1,684
1361,481,2,217
1362,482,0,603
1363,482,1,64
1364,482,2,333
1365,483,0,136
1366,483,1,864
1367,484,0,570
1368,484,1,430
1369,485,0,745
1370,485,1,255
1371,486,0,862
1372,486,1,138
1373,487,0,203
1374,487,1,797
1375,488,0,274
1376,488,1,291
1377,488,2,435
1378,489,0,165
1379,489,1,835
1380,490,0,82
1381,490,1,661
1382,490,2,53
1383,490,3,204
1384,491,0,107
1385,491,1,570
1386,491,2,323
1387,492,0,107
1388,492,1,893
1389,493,0,297
1390,493,1,570
1391,493,2,133
1392,494,0,384
1393,494,1,616
1394,495,0,224
1395,495,1,776
1396,496,0,123
1397,496,1,877
