,Clusters,RTs,Total_tweets,CumRT
1391,2,68,139200,84414
1392,3,59,139300,84473
1393,2,75,139400,84548
1394,2,67,139500,84615
1395,2,59,139600,84674
1396,2,56,139700,84730
1397,2,56,139800,84786
1398,2,59,139900,84845
1399,2,57,140000,84902
1400,2,51,140100,84953
1401,4,57,140200,85010
1402,5,62,140300,85072
1403,2,57,140400,85129
1404,2,53,140500,85182
1405,2,61,140600,85243
1406,3,56,140700,85299
1407,2,54,140800,85353
1408,2,63,140900,85416
1409,2,59,141000,85475
1410,2,52,141100,85527
1411,2,54,141200,85581
1412,2,56,141300,85637
1413,2,56,141400,85693
1414,2,54,141500,85747
1415,6,55,141600,85802
1416,2,63,141700,85865
1417,7,55,141800,85920
1418,6,61,141900,85981
1419,4,61,142000,86042
1420,5,61,142100,86103
1421,6,60,142200,86163
1422,2,61,142300,86224
1423,2,56,142400,86280
1424,5,60,142500,86340
1425,2,60,142600,86400
1426,5,64,142700,86464
1427,4,60,142800,86524
1428,6,67,142900,86591
1429,6,64,143000,86655
1430,4,67,143100,86722
1431,7,54,143200,86776
1432,4,59,143300,86835
1433,3,62,143400,86897
1434,4,62,143500,86959
1435,4,64,143600,87023
1436,5,60,143700,87083
1437,5,64,143800,87147
1438,3,58,143900,87205
1439,5,61,144000,87266
1440,4,62,144100,87328
1441,2,65,144200,87393
1442,2,52,144300,87445
1443,5,58,144400,87503
1444,5,60,144500,87563
1445,4,58,144600,87621
1446,5,70,144700,87691
1447,4,63,144800,87754
1448,5,66,144900,87820
1449,4,66,145000,87886
1450,3,62,145100,87948
1451,2,62,145200,88010
1452,4,56,145300,88066
1453,5,69,145400,88135
1454,2,54,145500,88189
1455,3,55,145600,88244
1456,4,61,145700,88305
1457,2,66,145800,88371
1458,2,58,145900,88429
1459,4,61,146000,88490
1460,3,60,146100,88550
1461,2,65,146200,88615
1462,5,60,146300,88675
1463,2,58,146400,88733
1464,2,62,146500,88795
1465,4,51,146600,88846
1466,2,60,146700,88906
1467,2,67,146800,88973
1468,6,59,146900,89032
1469,2,59,147000,89091
1470,4,55,147100,89146
1471,4,61,147200,89207
1472,5,68,147300,89275
1473,2,55,147400,89330
1474,7,59,147500,89389
1475,2,63,147600,89452
1476,2,59,147700,89511
1477,4,62,147800,89573
1478,2,58,147900,89631
1479,2,68,148000,89699
1480,2,76,148100,89775
1481,2,61,148200,89836
1482,2,61,148300,89897
1483,2,58,148400,89955
1484,2,63,148500,90018
1485,5,64,148600,90082
1486,4,60,148700,90142
1487,2,55,148800,90197
1488,2,58,148900,90255
1489,7,42,149000,90297
1490,2,51,149100,90348
1491,2,62,149200,90410
1492,2,52,149300,90462
1493,3,59,149400,90521
1494,3,48,149500,90569
1495,2,59,149600,90628
1496,6,50,149700,90678
1497,2,62,149800,90740
1498,2,54,149900,90794
1499,2,57,150000,90851
1500,2,64,150100,90915
1501,2,61,150200,90976
1502,2,65,150300,91041
1503,2,60,150400,91101
1504,2,55,150500,91156
1505,2,66,150600,91222
1506,4,68,150700,91290
1507,2,67,150800,91357
1508,2,64,150900,91421
1509,2,62,151000,91483
1510,2,67,151100,91550
1511,6,57,151200,91607
1512,2,56,151300,91663
1513,2,56,151400,91719
1514,2,64,151500,91783
1515,2,55,151600,91838
1516,5,51,151700,91889
1517,2,69,151800,91958
1518,4,68,151900,92026
1519,6,68,152000,92094
1520,3,53,152100,92147
1521,2,61,152200,92208
1522,4,72,152300,92280
1523,2,66,152400,92346
1524,8,60,152500,92406
1525,2,65,152600,92471
1526,3,71,152700,92542
1527,2,59,152800,92601
1528,2,64,152900,92665
1529,5,69,153000,92734
1530,2,61,153100,92795
1531,2,69,153200,92864
1532,6,69,153300,92933
1533,2,72,153400,93005
1534,2,69,153500,93074
1535,2,61,153600,93135
1536,2,68,153700,93203
1537,4,72,153800,93275
1538,2,66,153900,93341
1539,2,69,154000,93410
1540,2,73,154100,93483
1541,2,66,154200,93549
1542,2,63,154300,93612
1543,2,52,154400,93664
1544,2,62,154500,93726
1545,2,62,154600,93788
1546,2,62,154700,93850
1547,2,68,154800,93918
1548,2,62,154900,93980
1549,10,58,155000,94038
1550,5,69,155100,94107
1551,2,61,155200,94168
1552,3,57,155300,94225
1553,2,65,155400,94290
1554,2,66,155500,94356
1555,2,65,155600,94421
1556,5,71,155700,94492
1557,2,61,155800,94553
1558,2,63,155900,94616
1559,2,60,156000,94676
1560,2,71,156100,94747
1561,3,62,156200,94809
1562,2,64,156300,94873
1563,2,61,156400,94934
1564,2,66,156500,95000
1565,2,73,156600,95073
1566,2,60,156700,95133
1567,5,58,156800,95191
1568,3,76,156900,95267
1569,2,70,157000,95337
1570,2,61,157100,95398
1571,2,67,157200,95465
1572,5,62,157300,95527
1573,2,60,157400,95587
1574,2,63,157500,95650
1575,2,57,157600,95707
1576,3,77,157700,95784
1577,2,67,157800,95851
1578,2,65,157900,95916
1579,2,68,158000,95984
1580,5,66,158100,96050
1581,2,69,158200,96119
1582,2,73,158300,96192
1583,5,57,158400,96249
1584,2,69,158500,96318
1585,3,65,158600,96383
1586,2,59,158700,96442
1587,2,71,158800,96513
1588,2,58,158900,96571
1589,5,76,159000,96647
1590,2,61,159100,96708
1591,8,65,159200,96773
1592,2,72,159300,96845
1593,2,71,159400,96916
1594,2,68,159500,96984
1595,2,67,159600,97051
1596,5,65,159700,97116
1597,13,64,159800,97180
1598,2,70,159900,97250
1599,2,59,160000,97309
1600,2,64,160100,97373
1601,2,58,160200,97431
1602,2,73,160300,97504
1603,4,64,160400,97568
1604,2,65,160500,97633
1605,2,60,160600,97693
1606,5,60,160700,97753
1607,5,56,160800,97809
1608,2,58,160900,97867
1609,3,53,161000,97920
1610,2,60,161100,97980
1611,2,52,161200,98032
1612,3,61,161300,98093
1613,4,55,161400,98148
1614,2,65,161500,98213
1615,2,61,161600,98274
1616,2,70,161700,98344
1617,2,62,161800,98406
1618,2,66,161900,98472
1619,5,61,162000,98533
1620,2,64,162100,98597
1621,2,64,162200,98661
1622,2,54,162300,98715
1623,2,63,162400,98778
1624,2,57,162500,98835
1625,2,56,162600,98891
1626,2,68,162700,98959
1627,3,63,162800,99022
1628,3,62,162900,99084
1629,3,68,163000,99152
1630,2,60,163100,99212
1631,2,65,163200,99277
1632,2,62,163300,99339
1633,2,65,163400,99404
1634,2,73,163500,99477
1635,2,62,163600,99539
1636,2,70,163700,99609
1637,2,60,163800,99669
1638,2,64,163900,99733
1639,2,54,164000,99787
1640,2,66,164100,99853
1641,2,68,164200,99921
1642,2,77,164300,99998
1643,2,70,164400,100068
1644,2,64,164500,100132
1645,2,61,164600,100193
1646,6,65,164700,100258
1647,2,63,164800,100321
1648,6,62,164900,100383
1649,2,64,165000,100447
1650,2,63,165100,100510
1651,2,62,165200,100572
1652,2,73,165300,100645
1653,4,67,165400,100712
1654,2,65,165500,100777
1655,2,71,165600,100848
1656,4,69,165700,100917
1657,2,60,165800,100977
1658,6,66,165900,101043
1659,2,61,166000,101104
1660,2,68,166100,101172
1661,6,66,166200,101238
1662,2,69,166300,101307
1663,2,77,166400,101384
1664,2,62,166500,101446
1665,4,62,166600,101508
1666,2,67,166700,101575
1667,2,71,166800,101646
1668,2,58,166900,101704
1669,6,75,167000,101779
1670,3,65,167100,101844
1671,2,67,167200,101911
1672,2,63,167300,101974
1673,2,68,167400,102042
1674,2,70,167500,102112
1675,2,60,167600,102172
1676,2,71,167700,102243
1677,2,71,167800,102314
1678,2,62,167900,102376
1679,2,69,168000,102445
1680,2,62,168100,102507
1681,2,67,168200,102574
1682,2,73,168300,102647
1683,2,66,168400,102713
1684,2,67,168500,102780
1685,2,69,168600,102849
1686,2,65,168700,102914
1687,2,67,168800,102981
1688,2,65,168900,103046
1689,2,67,169000,103113
1690,2,65,169100,103178
1691,2,70,169200,103248
1692,2,64,169300,103312
1693,2,62,169400,103374
1694,4,69,169500,103443
1695,2,68,169600,103511
1696,2,73,169700,103584
1697,2,62,169800,103646
1698,5,61,169900,103707
1699,2,62,170000,103769
1700,2,58,170100,103827
1701,2,67,170200,103894
1702,3,67,170300,103961
1703,2,67,170400,104028
1704,2,68,170500,104096
1705,2,45,170600,104141
1706,2,60,170700,104201
1707,2,68,170800,104269
1708,2,67,170900,104336
1709,2,65,171000,104401
1710,2,54,171100,104455
1711,2,63,171200,104518
1712,2,61,171300,104579
1713,3,60,171400,104639
1714,3,62,171500,104701
1715,3,60,171600,104761
1716,2,56,171700,104817
1717,2,56,171800,104873
1718,4,57,171900,104930
1719,2,64,172000,104994
1720,2,56,172100,105050
1721,6,54,172200,105104
1722,2,65,172300,105169
1723,6,53,172400,105222
1724,2,63,172500,105285
1725,2,58,172600,105343
1726,2,52,172700,105395
1727,2,54,172800,105449
1728,2,58,172900,105507
1729,2,62,173000,105569
1730,5,53,173100,105622
1731,2,51,173200,105673
1732,2,54,173300,105727
1733,2,62,173400,105789
1734,3,53,173500,105842
1735,4,57,173600,105899
1736,2,59,173700,105958
1737,3,66,173800,106024
1738,2,56,173900,106080
1739,2,50,174000,106130
1740,2,60,174100,106190
1741,2,51,174200,106241
1742,2,62,174300,106303
1743,2,63,174400,106366
1744,2,56,174500,106422
1745,4,60,174600,106482
1746,2,62,174700,106544
1747,2,59,174800,106603
1748,2,65,174900,106668
1749,2,57,175000,106725
1750,6,67,175100,106792
1751,2,56,175200,106848
1752,2,61,175300,106909
1753,2,63,175400,106972
1754,2,56,175500,107028
1755,2,52,175600,107080
1756,6,68,175700,107148
1757,6,63,175800,107211
1758,3,66,175900,107277
1759,6,65,176000,107342
1760,2,59,176100,107401
1761,2,65,176200,107466
1762,2,61,176300,107527
1763,2,70,176400,107597
1764,2,58,176500,107655
1765,2,60,176600,107715
1766,2,56,176700,107771
1767,2,66,176800,107837
1768,2,64,176900,107901
1769,2,58,177000,107959
1770,2,59,177100,108018
1771,4,72,177200,108090
1772,2,69,177300,108159
1773,2,60,177400,108219
1774,2,56,177500,108275
1775,5,68,177600,108343
1776,2,57,177700,108400
1777,2,65,177800,108465
1778,4,73,177900,108538
1779,2,58,178000,108596
1780,2,58,178100,108654
1781,4,56,178200,108710
1782,2,66,178300,108776
1783,3,62,178400,108838
1784,3,73,178500,108911
1785,2,59,178600,108970
1786,5,75,178700,109045
1787,3,72,178800,109117
1788,2,67,178900,109184
1789,2,69,179000,109253
1790,2,69,179100,109322
1791,2,66,179200,109388
1792,4,66,179300,109454
1793,2,61,179400,109515
1794,2,67,179500,109582
1795,3,70,179600,109652
1796,2,62,179700,109714
1797,4,63,179800,109777
1798,2,72,179900,109849
1799,2,66,180000,109915
1800,3,65,180100,109980
1801,5,61,180200,110041
1802,4,64,180300,110105
1803,2,63,180400,110168
1804,2,68,180500,110236
1805,2,65,180600,110301
1806,2,69,180700,110370
1807,2,67,180800,110437
1808,2,67,180900,110504
1809,2,65,181000,110569
1810,2,70,181100,110639
1811,2,73,181200,110712
1812,2,68,181300,110780
1813,2,62,181400,110842
1814,2,65,181500,110907
1815,2,65,181600,110972
1816,2,70,181700,111042
1817,2,66,181800,111108
1818,2,61,181900,111169
1819,4,63,182000,111232
1820,2,74,182100,111306
1821,2,65,182200,111371
1822,2,66,182300,111437
1823,2,70,182400,111507
1824,2,71,182500,111578
1825,2,67,182600,111645
1826,2,72,182700,111717
1827,4,61,182800,111778
1828,2,70,182900,111848
1829,2,59,183000,111907
1830,2,74,183100,111981
1831,2,70,183200,112051
1832,3,73,183300,112124
1833,2,79,183400,112203
1834,2,64,183500,112267
1835,2,65,183600,112332
1836,5,63,183700,112395
1837,2,62,183800,112457
1838,2,73,183900,112530
1839,2,65,184000,112595
1840,2,62,184100,112657
1841,3,63,184200,112720
1842,2,69,184300,112789
1843,7,65,184400,112854
1844,2,59,184500,112913
1845,2,62,184600,112975
1846,2,66,184700,113041
1847,2,73,184800,113114
1848,6,63,184900,113177
1849,2,56,185000,113233
1850,2,55,185100,113288
1851,2,65,185200,113353
1852,2,69,185300,113422
1853,2,61,185400,113483
1854,4,70,185500,113553
1855,2,68,185600,113621
1856,2,66,185700,113687
1857,2,49,185800,113736
1858,2,68,185900,113804
1859,2,56,186000,113860
1860,2,67,186100,113927
1861,2,65,186200,113992
1862,2,60,186300,114052
1863,3,56,186400,114108
1864,2,55,186500,114163
1865,2,56,186600,114219
1866,2,57,186700,114276
1867,2,66,186800,114342
1868,2,64,186900,114406
1869,2,60,187000,114466
1870,2,62,187100,114528
1871,2,60,187200,114588
1872,2,56,187300,114644
1873,5,61,187400,114705
1874,5,62,187500,114767
1875,2,62,187600,114829
1876,5,67,187700,114896
1877,2,68,187800,114964
1878,2,65,187900,115029
1879,6,65,188000,115094
1880,4,71,188100,115165
1881,5,60,188200,115225
1882,2,68,188300,115293
1883,2,58,188400,115351
1884,3,73,188500,115424
1885,2,72,188600,115496
1886,6,63,188700,115559
1887,3,57,188800,115616
1888,4,63,188900,115679
1889,4,65,189000,115744
1890,2,66,189100,115810
1891,2,70,189200,115880
1892,4,69,189300,115949
1893,2,75,189400,116024
1894,4,68,189500,116092
1895,2,64,189600,116156
1896,4,61,189700,116217
1897,2,67,189800,116284
