,batch,cluster_number,size
1013,354,1,37
1014,354,2,249
1015,355,0,727
1016,355,1,273
1017,356,0,39
1018,356,1,961
1019,357,0,52
1020,357,1,948
1021,358,0,52
1022,358,1,874
1023,358,2,74
1024,359,0,947
1025,359,1,53
1026,360,0,38
1027,360,1,962
1028,361,0,34
1029,361,1,39
1030,361,2,826
1031,361,3,101
1032,362,0,613
1033,362,1,145
1034,362,2,93
1035,362,3,38
1036,362,4,47
1037,362,5,64
1038,363,0,6
1039,363,1,99
1040,363,2,671
1041,363,3,28
1042,363,4,38
1043,363,5,158
1044,364,0,962
1045,364,1,38
1046,365,0,38
1047,365,1,388
1048,365,2,574
1049,366,0,39
1050,366,1,393
1051,366,2,568
1052,367,0,575
1053,367,1,39
1054,367,2,386
1055,368,0,960
1056,368,1,40
1057,369,0,89
1058,369,1,40
1059,369,2,356
1060,369,3,515
1061,370,0,40
1062,370,1,960
1063,371,0,40
1064,371,1,881
1065,371,2,79
1066,372,0,262
1067,372,1,39
1068,372,2,442
1069,372,3,257
1070,373,0,960
1071,373,1,40
1072,374,0,960
1073,374,1,40
1074,375,0,656
1075,375,1,39
1076,375,2,187
1077,375,3,26
1078,375,4,38
1079,375,5,54
1080,376,0,960
1081,376,1,40
1082,377,0,816
1083,377,1,40
1084,377,2,84
1085,377,3,60
1086,378,0,961
1087,378,1,39
1088,379,0,55
1089,379,1,945
1090,380,0,85
1091,380,1,39
1092,380,2,737
1093,380,3,139
1094,381,0,46
1095,381,1,39
1096,381,2,133
1097,381,3,782
1098,382,0,39
1099,382,1,804
1100,382,2,157
1101,383,0,20
1102,383,1,39
1103,383,2,795
1104,383,3,33
1105,383,4,86
1106,383,5,27
1107,384,0,102
1108,384,1,39
1109,384,2,859
1110,385,0,39
1111,385,1,490
1112,385,2,471
1113,386,0,113
1114,386,1,887
1115,387,0,188
1116,387,1,56
1117,387,2,719
1118,387,3,37
1119,388,0,73
1120,388,1,38
1121,388,2,75
1122,388,3,653
1123,388,4,161
1124,389,0,961
1125,389,1,39
1126,390,0,37
1127,390,1,349
1128,390,2,614
1129,391,0,36
1130,391,1,46
1131,391,2,918
1132,392,0,668
1133,392,1,87
1134,392,2,16
1135,392,3,36
1136,392,4,185
1137,392,5,8
1138,393,0,503
1139,393,1,497
1140,394,0,391
1141,394,1,62
1142,394,2,547
1143,395,0,961
1144,395,1,39
1145,396,0,82
1146,396,1,39
1147,396,2,96
1148,396,3,40
1149,396,4,723
1150,396,5,20
1151,397,0,263
1152,397,1,38
1153,397,2,699
1154,398,0,53
1155,398,1,861
1156,398,2,47
1157,398,3,39
1158,399,0,98
1159,399,1,38
1160,399,2,92
1161,399,3,30
1162,399,4,321
1163,399,5,421
1164,400,0,37
1165,400,1,76
1166,400,2,397
1167,400,3,182
